candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words
Letitia Plummer,TX,22.0,house,2018,D,2,20181119103604,8,106,homepage;other,https://letitiaplummer2018.com,517291,57968
John Biggan,TX,24.0,house,2018,D,2,20180924142810,7,1,homepage,https://bigganfortexas.com,294,39
John Meyer,MT,0.0,house,2018,D,2,20181119100159,11,2,action;homepage,https://meyerformontana.com,6476,999
James Lloyd Matlock,TN,2.0,house,2018,R,2,20180708024633,3,11,homepage;other,https://www.matlockforcongress.com,39480,5735
Tahirah Amatul-Wadud,MA,1.0,house,2018,D,2,20181226171350,15,5,homepage;other,https://tahirahforcongress.com,37556,5508
Mark Eugene Eugene Amodei,NV,2.0,house,2018,R,2,20181218213121,27,1,homepage,https://amodeifornevada.com,10338,1434
Stuart Starr,TN,2.0,house,2018,D,2,20180321001607,1,1,homepage,https://starr4congress.com,3467,24
Michelle Mortensen,NV,3.0,house,2018,R,2,20181218212416,5,4,action;homepage;issues;news,https://michellemortensen.com,16539,2641
Wendy May,NC,2.0,house,2018,D,2,20180327174649,8,3,homepage;other,https://wendymayforcongress.com,46543,7434
Sheryl Francys Alu Campagna,HI,2.0,house,2018,D,2,20180121093741,14,5,action;biography;homepage;other,https://www.sherryforhawaii.com,8115,1045
Michael Nesmith,GA,12.0,house,2018,D,2,20180712093006,11,3,homepage;issues,https://votetrent.com,1707,197
Ryan A Costello,PA,6.0,house,2018,R,2,20180103112632,1,1,homepage,https://www.ryancostelloforcongress.com,1989,224
Joseph Kaufman,FL,23.0,house,2018,R,2,20180216230642,4,2,homepage;other,https://www.kaufmanforcongress.com,37366,5724
Michael D Parrish,PA,6.0,house,2018,D,2,20180315190424,1,10,homepage;news;other,http://www.parrishforcongress.com,25320,3508
Adrienne Bell,TX,14.0,house,2018,D,2,20180425213901,23,1,homepage,https://bell2018.com,9438,1437
John Michael Galbraith,OH,5.0,house,2018,D,2,20181119101359,15,17,action;endorsements;homepage;issues;other,https://www.galbraithforcongress.com,42038,5431
Cathy Mcmorris Rodgers,WA,5.0,house,2018,R,2,20180427195800,56,4,homepage;news;other,https://cathyforcongress.com,28050,3750
Rich Eichholz,MI,6.0,house,2018,D,2,20180618151234,19,2,homepage;other,https://www.richeichholz.com,5065,727
Ronald David Slotin,GA,6.0,house,2018,D,2,20181221164217,6,1,homepage,https://www.votinforslotin.com,1067,133
Thomas Cotton,AR,4.0,house,2018,R,2,20180413005603,7,6,biography;homepage;news;other,https://www.tomcotton.com,16876,2376
Nicholas Richard Mr. Stankevich,NY,27.0,house,2018,D,2,20180107031103,9,1,homepage,https://www.nickforny27.com,2733,405
Lisa Battista,CA,10.0,house,2018,D,2,20180203135121,2,1,homepage,https://battistaforcongress.com,2319,373
Conor Lamb,PA,17.0,house,2018,D,2,20181003131213,84,16,action;biography;homepage;issues;other,https://conorlamb.com,41215,4940
Barry Michaels,NV,3.0,house,2018,D,2,20181118191004,5,31,action;homepage;issues;news;other,https://michaelsforcongress.com,191002,27673
George T Erdel,TN,6.0,house,2018,D,2,20180804205826,1,33,homepage;other,https://georgefortennessee.com,131963,645
Ivan Arturo Andarza,TX,21.0,house,2018,R,2,20180212090248,13,1,homepage,https://voteandarza.com,1455,211
Charlie Joseph Crist,FL,13.0,house,2018,D,2,20181215052858,11,1,homepage,https://charliecrist.com,199,15
Donald W Norcross,NJ,1.0,house,2018,D,2,20180103030236,12,13,biography;homepage;issues;news;other,https://www.donaldnorcrossforcongress.com,62598,9204
Joaquin Castro,TX,20.0,house,2018,D,2,20181106135033,32,10,homepage;other,https://www.castroforcongress.com,15054,2033
Larry Rader,LA,3.0,house,2018,D,2,20181023201903,4,4,action;biography;homepage;issues,https://larryraderforcongress.com,7925,1183
Mario Diaz-Balart,FL,25.0,house,2018,R,2,20180911184542,2,2,homepage,https://www.mariodiazbalart.com,9443,913
Mitchell Cobert,NJ,11.0,house,2018,D,2,20180123113322,18,1,homepage,http://cobertforcongress.com/,6256,947
Jason Emert,TN,2.0,house,2018,R,2,20180726072316,6,8,action;biography;homepage;issues;news;other,https://www.jasonemert.com,17538,2520
Gerald Wong,NC,6.0,house,2018,D,2,20181228201348,11,11,homepage;news;other,https://www.wongforcongress.com,34860,5527
David H Leroy,ID,1.0,house,2018,R,2,20180514070013,8,7,action;homepage;other,https://leroyforidaho.com,26105,3782
Rose Izzo,DE,0.0,house,2018,D,2,20180805133508,8,2,homepage;other,https://www.roseizzo.com,414,49
Gwen S Moore,WI,4.0,house,2018,D,2,20180103031431,31,13,action;homepage;other,https://www.gwenmooreforcongress.com/,48382,6815
William R. Wild,MI,13.0,house,2018,D,2,20181110103625,13,6,biography;homepage;issues;news;other,https://billwildforcongress.com,16143,2431
Douglas David Dr. Wright,VA,6.0,house,2018,R,2,20180804153820,1,1,homepage,https://douglaswrightforcongress.com,772,94
Samuel Allen,FL,11.0,house,2018,D,2,20180413101105,4,1,homepage,https://www.samallenforcongress.com,1011,139
Suzanne Ms. Bonamici,OR,1.0,house,2018,D,2,20180102135055,11,1,homepage,http://bonamiciforcongress.com,966,101
Theodore P. Budd,NC,13.0,house,2018,R,2,20181031015715,107,11,action;biography;homepage;news;other,https://www.tedbudd.com,30354,4084
Ralph Lee Dr. Jr. Abraham,LA,5.0,house,2018,R,2,20180717041741,12,10,action;biography;endorsements;homepage;issues;news;other,https://www.ralphabraham.com,48597,7175
James D. Scholten,IA,4.0,house,2018,D,2,20181215101046,39,11,action;biography;homepage;issues;news;other,https://scholten4iowa.com,85697,12833
Gardenia M Henley,NC,12.0,house,2018,D,2,20180809180039,3,8,homepage;other,https://www.thepeoplescandidate.org,29006,3041
Damon P Martinez,NM,1.0,house,2018,D,2,20180423150214,13,5,homepage;other,https://www.damonmartinezforcongress.com,36880,5541
Sheri Lou Mrs. Few,SC,5.0,house,2018,R,2,20180807172043,4,20,homepage;news;other,https://sherifewforcongress.com,184717,25487
Gus M Bilirakis,FL,12.0,house,2018,R,2,20180808074310,16,7,homepage;news;other,https://www.bilirakisforcongress.com,29416,3802
Aaron Anthony,PA,12.0,house,2018,D,2,20181115121551,7,1,homepage,http://www.flipthe12th.us/,1159,151
Patricia Spearman,NV,4.0,house,2018,D,2,20180518033631,4,2,biography;homepage,https://spearman4congress.com,7170,972
Lauren Horton,NC,7.0,house,2018,D,2,20180123014007,60,6,action;homepage;news;other,http://www.drkyleforcongress.com/,20016,2970
Stephen P. Tryon,UT,3.0,house,2018,D,2,20180807110640,6,73,homepage;news;other,https://www.tryonforcongress.com,145028,18576
Joel Sheltrown,MI,1.0,house,2018,D,2,20180805222236,1,1,homepage,https://www.sheltrown.com,64,9
Lynn A. Westmoreland,GA,3.0,house,2018,R,2,20181122112717,2,4,homepage;news;other,https://www.lynnwestmoreland.org,33073,5207
Joshua Penfold,TN,7.0,house,2018,D,2,20180102073552,2,2,homepage;other,https://joshpenfold.com,136,16
James E. Clyburn,SC,6.0,house,2018,D,2,20180622005336,14,11,biography;homepage;news;other,https://clyburnforcongress.com,34335,4724
William E Cimbrelo,MA,9.0,house,2018,D,2,20180715193355,3,3,biography;homepage;other,https://billcimbrelo.com,4021,565
David Alan Callahan,GA,13.0,house,2018,R,2,20181017144619,8,5,action;homepage,https://friendsofdavidcallahan.us,17674,2292
Fayrouz Saad,MI,11.0,house,2018,D,2,20181231152536,42,4,homepage;other,https://www.fayrouzsaad.com,5861,793
Scott R. Tipton,CO,3.0,house,2018,R,2,20180102084420,15,7,homepage;other,https://votetipton.com,36419,5144
Mark Anthony Ali,SC,5.0,house,2018,D,2,20180808062341,11,2,homepage;issues,https://www.markaliforcongress.com,8623,1243
Christopher B Hon. Cannon,UT,3.0,house,2018,R,2,20181010155417,20,6,homepage;other,http://www.chriscannon.com,8451,1131
Brianna Westbrook,AZ,8.0,house,2018,D,2,20180110151847,2,1,homepage,http://www.westbrook2018.com,291,39
John David Anderson,OH,10.0,house,2018,R,2,20181119030916,4,4,homepage;other,https://johnandersonforcongress.com,24223,3549
Gilbert Cisneros,CA,39.0,house,2018,D,2,20180527101352,64,11,action;biography;endorsements;homepage;news;other,https://cisnerosforcongress.com/,61181,8941
John Mr. Moolenaar,MI,4.0,house,2018,R,2,20180102203428,26,1,homepage,https://johnmoolenaarforcongress.com,2908,377
Mohammad Ali Bhuiyan,GA,6.0,house,2018,R,2,20181213050431,16,37,action;constituent_services;endorsements;homepage;issues;news;other,https://www.mohammadaliforcongress.com,99468,10622
Lynne Blankenbeker,NH,2.0,house,2018,R,2,20181113135341,2,1,homepage,https://www.blankenbeker.com,2178,224
Mitchell J Mr. Toland,MD,2.0,house,2018,R,2,20180625162958,4,1,homepage,https://www.mitchformd.com,940,121
Joshua Braxton Mccall,GA,9.0,house,2018,D,2,20181106124840,8,15,action;homepage;issues;news;other,https://mccallforall.com,97265,14011
Mallory Hagan,AL,3.0,house,2018,D,2,20181023195947,54,3,homepage;other,https://www.haganforhouse.com,6919,726
Debbie Lesko,AZ,8.0,house,2018,R,2,20181217055419,37,8,action;biography;endorsements;homepage;issues;news;other,http://www.debbieleskoforcongress.com,26896,3418
Tim Donnelly,CA,8.0,house,2018,R,2,20181119101918,1,1,homepage,https://www.donnellyforcongress.com,2693,62
Angie Chirino,FL,27.0,house,2018,R,2,20180119083220,16,3,action;homepage;other,https://chirinoforcongress.com,10556,1284
Matt Kokkonen,CA,24.0,house,2018,R,2,20181119154703,5,1,homepage,https://mattforcongress.com,1247,122
Brenden Dilley,AZ,8.0,house,2018,R,2,20180111183957,25,6,action;homepage;other,https://www.dilley2018.com,25293,1711
Paul Douglas Spain,FL,22.0,house,2018,R,2,20181118184229,15,8,action;biography;endorsements;homepage;issues;news;other,https://www.paulspainforcongress.com,26283,3708
Debra Kerner,TX,7.0,house,2018,D,2,20180805201840,1,5,homepage;other,https://www.debrakerner.com,12518,1666
Louis B. Mr. Jr. Gohmert,TX,1.0,house,2018,R,2,20181205172546,10,8,action;biography;homepage;news;other,https://www.gohmert.com,14933,1779
Robert Ryerse,AR,3.0,house,2018,R,2,20180214074610,36,1,homepage,https://robb2018.com,4596,640
John L Ratcliffe,TX,4.0,house,2018,R,2,20180102173413,20,5,action;homepage;other,https://www.ratcliffeforcongress.com,6177,875
Lena Rose Epstein,MI,11.0,house,2018,R,2,20180812111908,131,6,homepage;issues;news;other,https://lenaforcongress.com,13034,1609
Kenneth R Buck,CO,4.0,house,2018,R,2,20181005191503,14,1,homepage,https://www.buckforcolorado.com,1388,184
Enrique Mr. Garcia,TX,16.0,house,2018,D,2,20180214190238,7,7,biography;homepage;other,https://www.egarcia4congress.com,15830,2035
Tod Curtis,IN,9.0,house,2018,D,2,20180331045247,1,2,homepage;other,http://www.curtisforcongress.org,5241,445
Kenneth S Calvert,CA,42.0,house,2018,R,2,20181215061718,15,8,biography;homepage;issues;news;other,https://www.calvertforcongress.com,14908,1944
Frank Perez,FL,27.0,house,2018,D,2,20180906012455,2,4,action;homepage;other,https://www.frankforflorida.com,10244,845
James P. Mr. Mcgovern,MA,2.0,house,2018,D,2,20180824113152,14,1,homepage,https://jimmcgovern.com,2236,294
Bismark Agbemble,PA,1.0,house,2018,D,2,20181227043931,3,10,homepage;other,https://www.partnersforchange.com,27595,3658
Michael Waltz,FL,6.0,house,2018,R,2,20180826121843,32,6,action;biography;homepage;issues;news;other,https://www.michaelwaltz.com,21017,2937
Lenar Whitney,LA,6.0,house,2018,R,2,20180826130403,2,10,homepage;other,https://www.lenarwhitney.com,23271,3369
Doug Mclinko,PA,12.0,house,2018,R,2,20180503165319,10,6,biography;homepage;issues;other,http://www.dougmclinko.com/,14545,1933
Jared Golden,ME,2.0,house,2018,D,2,20180821040902,34,6,action;endorsements;homepage;news;other,https://jaredgoldenforcongress.com/,32761,4917
Audri Scott 1955 Williams,AL,2.0,house,2018,D,2,20180121045537,12,1,homepage,https://audriscottwilliams.com,3698,529
Debbie Dingell,MI,12.0,house,2018,D,2,20181222142130,24,19,biography;endorsements;homepage;issues;news;other,https://www.debbiedingellforcongress.com,177998,28229
Nicolas T Mr. Kimaz,FL,22.0,house,2018,R,2,20181005191420,16,29,action;homepage;issues;news;other,https://www.kimazforcongress.com,45115,5812
John Fitzgerald,CA,11.0,house,2018,R,2,20181103162100,43,17,homepage;issues;other,https://johnfitzgeraldforcongress.com,438582,63711
Nicholas V. Taylor,TX,3.0,house,2018,R,2,20180117045334,8,8,action;biography;homepage;issues;news,https://www.vantaylor.com,30416,4417
Paul Pelletier,VA,10.0,house,2018,D,2,20181125130311,10,4,action;homepage;news;other,http://www.paulforvirginia.com,5440,545
Bruce Wheeler,AZ,2.0,house,2018,D,2,20180524172219,15,2,homepage;other,https://wheelerforcongress2018.com,17372,2484
Denise Juneau,MT,0.0,house,2018,D,2,20180411052149,6,2,homepage;news,http://www.denisejuneau.com,10403,1461
Jim Mowrer,IA,3.0,house,2018,D,2,20180527233044,1,2,biography;homepage,http://www.jimforiowa.com,4307,690
John Culberson,TX,7.0,house,2018,R,2,20181106160508,111,1,homepage,https://www.culbersonforcongress.com,11590,1188
Daniel Meuser,PA,9.0,house,2018,R,2,20181205214454,26,3,action;homepage;other,https://www.meuserforcongress.com,5903,712
Timothy W Mr. Bjorkman,SD,0.0,house,2018,D,2,20181005201835,18,22,action;biography;homepage;issues;other,https://timbjorkman.com,75032,10061
Michael Thomas Sherzan,IA,3.0,house,2018,D,2,20181224113422,5,1,homepage,https://www.sherzanforiowa.com,14992,2684
Kathyrn Lewis,VA,6.0,house,2018,R,2,20180816033500,3,1,homepage,https://www.votekathryn.com,3933,557
Andy Caffrey,CA,2.0,house,2018,D,2,20180831163410,1,1,homepage,https://caffrey2016.org,1419,106
Alva Lytton,CA,11.0,house,2018,D,2,20180809162632,1,1,homepage,https://dennislytton.org,78,13
Jeffrey Allen Sr Beeler,WA,1.0,house,2018,R,2,20181023210901,6,1,homepage,https://www.beeler4congress.com,7984,1205
David Trone,MD,8.0,house,2018,D,2,20181203142259,19,14,action;biography;endorsements;homepage;news;other,https://davidtrone.com,33781,4372
Ted D Ii Howze,CA,9.0,house,2018,R,2,20181108184600,21,1,homepage,https://tedhowze.com,1085,102
Ross Wordhouse,OR,2.0,house,2018,D,2,20181119075511,4,1,homepage,https://rosswordhouse.com,428,73
Jamieson Hale Gradert,NH,1.0,house,2018,R,2,20181108043752,8,1,homepage,https://jamiesongradert.com,4949,774
Phil Hornback,FL,15.0,house,2018,D,2,20181119090718,2,1,homepage,https://hornbackforcongress.com,719,89
Mimi Methvin,LA,3.0,house,2018,D,2,20181230172629,34,7,action;homepage;other,https://votemimi.org,50152,7661
John Bt Iii Campbell,CA,45.0,house,2018,R,2,20180328142904,1,2,other,https://www.campbellforcongress.com,30347,4655
Jacques Mr. Jr Dandridge,TX,6.0,house,2018,R,2,20180227231505,7,1,homepage,http://www.shawndandridge.com,713,63
Stacey Dash,CA,44.0,house,2018,R,2,20180309054654,8,2,biography;homepage,https://www.dashtodc.com,2837,442
E J Pipkin,MD,1.0,house,2018,R,2,20181216031051,2,10,biography;homepage;issues;news;other,https://www.pipkinforsenate.com,21309,2893
Jennifer Horn,NH,2.0,house,2018,R,2,20181122212954,5,30,homepage;news;other,https://www.jenniferhorn.org,121565,17690
Tom Mr. Rooney,FL,17.0,house,2018,R,2,20181116201203,8,1,homepage,https://www.tomrooney.com,592,89
Paul Iii Berry,MO,1.0,house,2018,R,2,20180314171236,2,5,homepage;other,https://www.berryformissouri.com,21786,2859
Mark J Leyva,IN,1.0,house,2018,R,2,20180415064247,11,10,action;homepage;news;other,https://www.markleyva.com,113630,16634
Timothy Ryan,OH,13.0,house,2018,D,2,20180103160759,7,9,action;biography;homepage;news;other,https://timryanforcongress.com,41219,5904
Christine Eady Mann,TX,31.0,house,2018,D,2,20181226010849,21,2,homepage,https://christine4congress.com,4269,443
Jason Sarnoski,NJ,5.0,house,2018,R,2,20180203090209,6,3,homepage;other,https://www.sarnoskiforcongress.com,14684,2032
Shawna Roberts,OH,6.0,house,2018,D,2,20181023233737,4,7,endorsements;homepage;other,https://www.shawnarobertsforcongress2018.org,24821,3628
Tom Cole,OK,4.0,house,2018,R,2,20180620032047,22,1,homepage,https://www.tomcoleforcongress.com,3137,324
Douglas L. Mr. Hoffman,NY,23.0,house,2018,R,2,20180804221521,10,28,homepage;news;other,https://www.doughoffmanforcongress.com,168637,26497
Kelly Mazeski,IL,6.0,house,2018,D,2,20180202001353,4,3,action;homepage,https://www.kellymazeski.com,19415,1686
Roseann P. Ivanovich,IN,1.0,house,2018,R,2,20180823000500,3,8,biography;homepage;issues;other,http://www.ivanovich4congress.com/,18138,2381
David Mastrianni,NY,21.0,house,2018,D,2,20181119101135,12,1,homepage,https://www.mastrianni21.com,446,56
Maria Mary Matiella,AZ,2.0,house,2018,D,2,20180530015005,1,1,homepage,https://matiellaforcongress.com,316,14
Aejaz (Raji) Rab,CA,30.0,house,2018,D,2,20180220043159,14,5,homepage;other,https://www.rabforcongress.com,20463,2967
Maxine Waters,CA,43.0,house,2018,D,2,20181111195822,13,3,homepage;other,https://maxinewatersforcongress.com,1303,121
Melissa Gilbert,MI,8.0,house,2018,D,2,20180325011028,1,2,homepage;other,https://www.gilbertformichigan.com,5072,429
Dwight Evans,PA,3.0,house,2018,D,2,20181114191817,20,18,action;biography;homepage;issues;news;other,http://www.dwightevans.com,98549,14243
Peter Roskam,IL,6.0,house,2018,R,2,20180426024542,110,2,homepage;other,http://roskam.house.gov,13744,1848
J D Winteregg,OH,8.0,house,2018,R,2,20181204204809,7,12,action;biography;endorsements;homepage;issues;news;other,https://jdwinteregg.com,24245,3362
E Brian Rose,MS,4.0,house,2018,R,2,20180328095917,9,13,action;homepage;issues;news;other,https://roseforcongress.com,44170,5964
M. David Shapiro,FL,16.0,house,2018,D,2,20180425065437,11,16,biography;homepage;issues;news;other,https://voteshapiro2018.com/,37214,4979
James D O'Donnell,NY,18.0,house,2018,R,2,20181105115524,12,3,action;homepage;other,https://voteodonnell.com,10692,948
Dawn Barlow,TN,6.0,house,2018,D,2,20181024023303,4,2,homepage;issues,https://www.dawnbarlowforcongress.com,11550,1731
William Lacy Jr Clay,MO,1.0,house,2018,D,2,20180620153416,19,20,action;biography;homepage;news;other,https://www.lacyclay.org,82035,10653
Darin Mckay Lahood,IL,18.0,house,2018,R,2,20181017144700,12,12,action;endorsements;homepage;news;other,https://lahoodforcongress.com,25074,3400
Raymond Anthony Jr. Meza,CA,34.0,house,2018,D,2,20181126230517,3,1,homepage,https://raymondmeza.com,40,7
Michael Doyle,PA,18.0,house,2018,D,2,20180602065357,19,12,biography;homepage;news;other,https://www.mikedoyleforcongress.com,44293,5922
Jim Himes,CT,4.0,house,2018,D,2,20181109225914,11,1,homepage,http://www.himesforcongress.com,1206,142
Gail Dignam,LA,,house,2018,R,2,20180805015215,2,1,homepage,https://gaildignamforcongress.com,2661,346
Albio Sires,NJ,8.0,house,2018,D,2,20180927220351,106,1,homepage,https://sires.house.gov,4189,431
Paul David Addis,PA,5.0,house,2018,R,2,20180216143825,10,6,action;homepage;issues;other,https://www.addisforpa.com,16463,2166
Bob Gray,GA,6.0,house,2018,R,2,20181120065510,4,12,action;biography;homepage;issues;news;other,https://www.bobgrayga.com,20444,2726
Michael J Gardiner,RI,2.0,house,2018,R,2,20181120120840,5,2,homepage;other,http://www.gardinerforcongress.com,8720,1241
Ryan Trundle,LA,4.0,house,2018,D,2,20180718224913,6,1,homepage,https://www.ryantrundle.com,1020,151
Tatiana Matta,CA,23.0,house,2018,D,2,20181126022126,59,7,action;biography;endorsements;homepage;issues;other,https://tatianamatta.com,23202,3187
Gregory J. Pence,IN,6.0,house,2018,R,2,20180124065759,18,6,action;biography;homepage;other,https://www.gregpenceforcongress.com,9891,1203
Janis C Dr Brooks,PA,18.0,house,2018,D,2,20180415054639,5,23,homepage;other,https://www.drjcbrooks4congress.org,42244,5972
Tammy Marie Dr Savoie,LA,1.0,house,2018,D,2,20181230172628,29,2,homepage,https://info@tammysavoie.com,5803,743
Edward Ray Ziegler,TX,7.0,house,2018,R,2,20181214115058,4,1,homepage,https://www.zieglerforcongress.com,154,25
Howard Kleinhendler,NJ,3.0,house,2018,D,2,20180324092406,1,2,homepage;other,https://hkcongress.com,4921,413
Tyler Sage Cordingley Mr. Stevens,CO,5.0,house,2018,R,2,20180504033704,7,1,homepage,https://www.electtylerstevens.com,1210,154
Andrew Joseph Williams,WI,8.0,house,2018,R,2,20180811020133,5,2,homepage,https://williamsforcongress.us,1656,141
Janet Everhard,OH,2.0,house,2018,D,2,20180102111332,1,2,action;homepage,http://everhardforcongress.nationbuilder.com,3612,391
Jeffrey L. Honorable Fortenberry,NE,1.0,house,2018,R,2,20181221153629,21,7,action;biography;homepage;other,https://www.supportfort.com,20198,2776
Brian Deters,IL,18.0,house,2018,D,2,20181119073927,4,1,homepage,https://briandetersforcongress.com,2268,197
Nita M Lowey,NY,17.0,house,2018,D,2,20180805051123,10,1,homepage,http://loweyforcongress.com,5678,786
Lucia Kay Ms. Mcbath,GA,6.0,house,2018,D,2,20181008051032,270,12,action;biography;homepage;issues;other,https://lucyforcongress.com,38856,5313
Jared Huffman,CA,2.0,house,2018,D,2,20180904163435,74,8,constituent_services;homepage;news;other,http://huffman.house.gov,35803,3744
Kristopher William Dr. Larsen,CO,2.0,house,2018,D,2,20180819004651,2,2,homepage;issues,https://www.larsenforcolorado.com,3894,623
Adrian Smith,NE,3.0,house,2018,R,2,20181023201622,32,13,action;homepage;issues;news;other,https://www.joinadrian.com,42419,5369
Dwayne Stovall,TX,36.0,house,2018,R,2,20180818080825,4,5,homepage;other,https://www.dwaynestovall.com,29728,4763
Stephanie Jones,NV,3.0,house,2018,R,2,20180819113120,2,2,homepage,http://www.stephaniejonesforcongress.com,10559,1682
Randy Weber,TX,14.0,house,2018,R,2,20181223153403,13,4,biography;homepage;other,https://www.randyweber.org,11277,1481
John P. Mr. Sarbanes,MD,3.0,house,2018,D,2,20180102200701,1,2,homepage;other,https://www.johnsarbanes.com,5264,629
David Valadao,CA,21.0,house,2018,R,2,20181004094708,35,7,constituent_services;homepage;other,http://valadao.house.gov,14829,1651
Richard Thomas Wright,MN,1.0,house,2018,D,2,20180413120411,5,16,action;biography;homepage;issues;news;other,https://www.richwright.org,32344,3877
Jan Schneider,FL,16.0,house,2018,D,2,20181227121656,15,35,action;homepage;news;other,https://www.votejan.com,124035,14823
Ken Romley,NC,2.0,house,2018,D,2,20181220201757,13,13,homepage;issues;news;other,http://www.kenromley.com,63429,9352
Steven Foster,GA,14.0,house,2018,D,2,20180512052515,91,16,homepage;issues;news,http://foster.house.gov,94280,11786
Marc Allison Mr. Veasey,TX,33.0,house,2018,D,2,20181108145521,24,13,action;endorsements;homepage;issues;other,http://www.marcveasey.com,47282,6308
Ahmed Salim,IL,7.0,house,2018,D,2,20180421222332,6,1,homepage,https://www.votesalim.com,592,94
Kevin D. Griffin,NC,13.0,house,2018,D,2,20181229082849,4,4,action;homepage;news;other,https://www.gowithgriffin.org,119642,18887
David Kustoff,TN,8.0,house,2018,R,2,20181109013049,22,4,biography;homepage;issues;other,http://www.kustoffforcongress.com/,9635,1385
Susannah Randolph,FL,9.0,house,2018,D,2,20181119155001,5,1,homepage,https://www.randolphforcongress.com,5305,34
Nathan Dahm,OK,1.0,house,2018,R,2,20181120105820,20,13,action;homepage;issues;news;other,https://www.nathandahm.com,35496,4202
Shireen Sarah Ghorbani,UT,2.0,house,2018,D,2,20180314182045,27,1,homepage,https://shireenforcongress.com,2631,414
Michael Cloud,TX,27.0,house,2018,R,2,20180711234223,15,13,action;endorsements;homepage;issues;other,https://cloudforcongress.com,41050,5293
Thaddeus Kirkland,PA,5.0,house,2018,D,2,20181116183724,4,1,homepage,https://www.kirklandforcongress.com,1375,196
Jeffrey M Landry,LA,3.0,house,2018,R,2,20180419190221,5,2,action;homepage,https://www.landryforlouisiana.com,3093,430
Mike Molesevich,PA,10.0,house,2018,D,2,20180322185035,1,2,homepage;other,https://www.mikeforcongresspa.com,5070,429
David Cheston Rouzer,NC,7.0,house,2018,R,2,20181023201730,15,2,action;homepage,https://www.davidrouzer.com,4116,463
Adam Coker,NC,13.0,house,2018,D,2,20180102112618,16,10,action;biography;homepage;issues;news;other,http://cokerforhouse.com,20833,3063
Margaret Anderson Kelliher,MN,5.0,house,2018,D,2,20180717071237,9,1,homepage,https://margaretforcongress.org,441,57
Vernon Buchanan,FL,16.0,house,2018,R,2,20180102175625,13,1,homepage,https://www.vernbuchanan.com,1855,242
Mike Sweeney,TX,31.0,house,2018,R,2,20181119075125,7,13,homepage;other,https://www.mikesweeney4congress.com,14033,1838
Clifford B. Stearns,FL,3.0,house,2018,R,2,20180704033338,2,25,endorsements;homepage;issues;news;other,https://cliffstearns.net,82665,10292
Hallie Jess Thompson,MO,4.0,house,2018,D,2,20181119110620,9,15,biography;homepage;news;other,https://www.halliethompsonforcongress.com,41518,5493
James E Reed,CA,1.0,house,2018,D,2,20181225232420,2,7,homepage;other,http://www.jimreed2016.com/,11647,180
Duwayne Gregory,NY,2.0,house,2018,D,2,20181119083556,3,1,homepage,https://duwaynegregory.com/,1563,208
Chuck Callesto,FL,3.0,house,2018,R,2,20181114212452,4,11,homepage;other,https://www.chuckcallesto.com,18156,2250
James Veltmeyer,CA,52.0,house,2018,R,2,20181108061702,12,2,homepage,https://www.veltmeyerforcongress.com,7869,1007
Joshua Loveless,TX,3.0,house,2018,R,2,20180324073734,1,2,homepage;other,https://joshloveless.org,5380,464
Jim Francis,LA,1.0,house,2018,D,2,20181024020616,14,2,action;homepage,https://www.jimfrancisforcongress.com,4915,581
Stephen Md Sevigny,FL,6.0,house,2018,D,2,20180713205602,2,1,homepage,https://sevignyforcongress.com,5433,606
Joseph D Morelle,NY,25.0,house,2018,D,2,20181023202933,6,5,action;homepage;news;other,https://www.votemorelle.com/,6029,816
Mark Joaquin Mr. Williams,CO,2.0,house,2018,D,2,20181119090342,9,15,endorsements;homepage;issues;news;other,https://www.markforcolorado.com,114927,16482
Dylan Ratigan,NY,21.0,house,2018,D,2,20180322102115,21,11,homepage;news;other,http://www.dylanratigan.com/,81659,7752
Herman White,IL,11.0,house,2018,R,2,20181119154536,4,4,action;constituent_services;homepage;issues,https://www.hermanwhiteforcongress.com,9162,1314
James Comer,KY,1.0,house,2018,R,2,20180102175651,21,10,action;biography;constituent_services;homepage;issues;news;other,https://www.jamescomer.com,26706,3460
Colleen W. Hanabusa,HI,1.0,house,2018,D,2,20180119171647,4,2,homepage,http://www.hanabusaforhawaii.com,23520,3514
George J Jr Kelly,PA,16.0,house,2018,R,2,20180117014030,192,15,action;biography;homepage;issues;other,https://www.mikekellyforcongress.com,52428,5783
Brett Butler Cain,AL,5.0,house,2018,D,2,20180207143913,4,1,homepage,https://butlercainforcongress.com,18457,2798
Jesse Colvin,MD,1.0,house,2018,D,2,20181005195939,20,18,action;biography;endorsements;homepage;news;other,http://www.jessecolvin.com,44521,5959
David Richardson,FL,27.0,house,2018,D,2,20180617022245,57,3,homepage;issues,https://davidforflorida.com/,17847,2503
Lorna Phillipson,NJ,4.0,house,2018,D,2,20181119153906,2,1,homepage,https://www.phillipsonforcongress.com,3550,57
Janice E Arnold-Jones,NM,1.0,house,2018,R,2,20181023201939,9,12,action;endorsements;homepage;news;other,https://www.janiceforcongress2018.com/,17160,2055
Juanita Perez Williams,NY,24.0,house,2018,D,2,20180829121603,3,1,homepage,http://voteforjuanita.com,2363,330
Daniel T. Kildee,MI,5.0,house,2018,D,2,20180102161540,7,11,action;homepage;issues;other,https://www.dankildee.com,25896,3561
Ragin Bullard Edwards,GA,6.0,house,2018,D,2,20180218211948,12,1,homepage,https://raginedwards.com,1426,175
